parentCompany,businessName,businessType,expires,street,city,state,zip
LOCAL SPIRITS INC,LOCAL SPIRITS,Liquor Store (city), 06/06/2016,435 E MAIN ST,ASPEN,CO,816111931,
MOUNTAIN LAUREL LLC,ASPEN WINE & SPIRITS,Liquor Store (city), 01/02/2016,300 PUPPY SMITH ST,Aspen,CO,816111455,
PAUL ROBINSON INC,GREAT WESTERN GROG SHOP,Liquor Store (city), 12/31/2015,710 E DURANT,Aspen,CO,816112070,
PLUMLEY CORP,ASPEN WINE GUILD INC THE,Liquor Store (city), 12/14/2015,111 S MONARCH ST,Aspen,CO,81611,
WC IWM LLC,IWM CELLARS,Liquor Store (city), 06/27/2016,665 E DURANT AVE,Aspen,CO,81611,
AIRPORT LIQUOR INC,AIRPORT LIQUOR INC,Liquor Store (county), 12/25/2015,119F AABC,ASPEN,CO,816112561,
AULT LIQUOR INC,AULT DISCOUNT LIQUORS INC,Liquor Store (city), 08/19/2016,103 S HWY 85,Ault,CO,80610,
KYNE KATHY,BOOZE BARN THE,Liquor Store (city), 12/05/2015,213 HWY 85,AULT,CO,80610,
6TH AVENUE LIQUORS LLC,6TH AVENUE LIQUORS,Liquor Store (city), 10/24/2015,10310 E 6TH AVENUE #C,Aurora,CO,80013,
A & I LIQUOR LLC,A & I LIQUOR,Liquor Store (city), 03/28/2016,306 S IRONTON UNIT B,Aurora,CO,800122078,
A & T LLC,QUINCY LIQUOR,Liquor Store (city), 02/26/2016,"19330 E QUINCY AVE, UNIT D",Aurora,CO,80015,
A N A CORPORATION,SONORA LIQUORS AURORA,Liquor Store (city), 09/21/2015,566 NORTH DAYTON STREET,Aurora,CO,800104203,
AB LIQUOR INC,AB LIQUOR,Liquor Store (city), 02/08/2016,4286 S CHAMBERS RD,AURORA,CO,800144130,
ABEL LLC,SMOKY HILL WINE AND SPIRITS,Liquor Store (city), 07/24/2015,15275 E SMOKY HILL RD,Aurora,CO,80015,
AKELOM CORPORATION,CHAMBERS LIQUOR MART AURORA,Liquor Store (city), 11/27/2015,15201 EAST COLFAX,Aurora,CO,800115724,
ALAMEDA CROSSING INC,ALAMEDA CROSSING LIQUOR,Liquor Store (city), 09/08/2015,542 S CHAMBERS RD #20,AURORA,CO,800173606,
ALDO GROUP LLC,LIQUOR PLUS,Liquor Store (city), 01/29/2016,13490 E MISSISSIPPI VE,Aurora,CO,80012,
AMINDO INVESTMENTS INC,VILLAGE GREEN LIQUORS,Liquor Store (city), 10/12/2015,15092 E MISSISSIPPI AVE,Aurora,CO,800123728,
ARUSTAMYAN ENTERPRISES LLC,STOCKADE WINE & LIQUORS,Liquor Store (city), 03/02/2016,2694 S PARKER RD,AURORA,CO,800141616,
AURORA LIQUORS LLC,AURORA LIQUORS,Liquor Store (city), 03/25/2016,10 SOUTH HAVANA ST UNIT 101,Aurora,CO,800126431,
B & J CORP,HIGHPOINT LIQUORS,Liquor Store (city), 08/18/2016,18674 E HAMPDEN AVE,AURORA,CO,800133500,
BISM LLC,FAN FAIR DISCOUNT LIQUOR,Liquor Store (city), 11/11/2015,475 HAVANA ST,Aurora,CO,80010,
BK DISCOUNT LIQUORS INC,BK DISCOUNT LIQUOR,Liquor Store (city), 07/20/2015,14293 E 6TH AVE,Aurora,CO,800118706,
BUCKINGHAM LIQUOR LLC,BUCKINGHAM LIQUOR,Liquor Store (city), 04/24/2016,11093 E MISSISSIPPI AVE,AURORA,CO,800123104,
CHAMBERS STREET INC,CHAMBERS WINE & LIQUOR,Liquor Store (city), 10/31/2015,15260 E ILIFF,AURORA,CO,800144516,
CHERRY CREEK LIQUORS LLC,CHERRY CREEK LIQUORS,Liquor Store (city), 01/31/2016,13750 E QUINCY AVE #20,Aurora,CO,800151129,
COHAGEN LLC,HAVANA PARK LIQUOR,Liquor Store (city), 10/27/2015,10772 E ILIFF AVE,Aurora,CO,80014,
COLORADICAL CORP,BRISTOL POINTE LIQUORS,Liquor Store (city), 01/02/2016,852 S BUCKLEY RD,Aurora,CO,80017,
CORNERSTAR WINE & LIQUOR LLC,CORNERSTAR WINE & LIQUOR,Liquor Store (city), 07/21/2015,15405 E BRIARWOOD CIR UNIT C,Aurora,CO,80016,
COURTESY LIQUORS INC,COURTESY LIQUORS INC,Liquor Store (city), 01/06/2016,1080 HAVANA ST,AURORA,CO,800103961,
D&T CORPORATION,HARRY'S LIQUOR STORE,Liquor Store (city), 09/18/2015,9508 EAST COLFAX AVENUE,Aurora,CO,80010,
DHILLON-PUREWALL INC,DANDY DISCOUNT LIQUOR,Liquor Store (city), 08/12/2015,12507 E MISSISSIPPI AVE UNIT 802,Aurora,CO,800123479,
DOO HYUNG RA INC,DICKERSON LIQUORS INC,Liquor Store (city), 03/21/2016,11104 E COLFAX AVE,AURORA,CO,800105026,
DUONG TO CORPORATION,ILIFF SQUARE DISCOUNT LIQUOR,Liquor Store (city), 10/22/2015,2211 S PEORIA ST,AURORA,CO,800141193,
E QUINCY LIQUOR LLC,E QUINCY LIQUOR,Liquor Store (city), 05/20/2016,16342 E QUINCY AVE,Aurora,CO,800151596,
E-470 WINES & SPIRITS INC,E-470 WINES & SPIRITS,Liquor Store (city), 04/04/2016,22910 E SMOKEY HILL RD,AURORA,CO,800161382,
EDNA LLC,GREAT VINES LIQUORS,Liquor Store (city), 11/19/2015,6140 SO GUN CLUB RD #J-1,Aurora,CO,800165306,
ENJ LLC,M&M LIQUORS,Liquor Store (city), 05/09/2016,18881 E COLFAX AVE UNIT 1,AURORA,CO,800116100,
ENVC LIQUOR LLC,ENVC LIQUOR,Liquor Store (city), 03/05/2016,24300 E SMOKY HILL RD #108,Aurora,CO,80016,
FELSEN ENTERPRISES INC,RESERVE LIST EAGLE BEND,Liquor Store (city), 08/10/2015,22691 E AURORA PKWY,Aurora,CO,800166087,
GIORGIS TARIKU W MENGISTU ROMAN,T&R LIQUOR STORE,Liquor Store (city), 04/07/2016,9697 MONTVIEW BLVD,Aurora,CO,800102036,
GMAN INC,G & E LIQUORS,Liquor Store (city), 10/16/2015,18680 E ILIFF AVE # D,AURORA,CO,800135995,
GRIFFIN REAL ESTATE & INVESTMENTS LLC,TOWER LANDING LIQUORS,Liquor Store (city), 08/05/2015,1155 S TOWER RD UNIT A,AURORA,CO,80017,
HA SEUNG MIN,CHAMBERS POINT LIQUORS,Liquor Store (city), 05/24/2016,1650 S CHAMBERS RD,Aurora,CO,800175023,
HAZOMO MT LLC,SMOKEY HILL LIQUORS,Liquor Store (city), 10/13/2015,16621 E. SMOKY HILL RD,Aurora,CO,80015,
HEBRET LLC,POWDERHORN LIQUOR,Liquor Store (city), 08/08/2015,12078 E MISSISSIPPI AVE,Aurora,CO,80012,
HMB LLC,DAYTON LIQUORS,Liquor Store (city), 02/04/2016,816 DAYTON ST,Aurora,CO,80010,
HNE INC,I-P LIQUORS,Liquor Store (city), 06/26/2016,12131 E ILIFF AVE STE E,AURORA,CO,800147322,
HY INC,MONTVIEW PLAZA LIQUOR,Liquor Store (city), 04/07/2016,9435 E MONTVIEW BLVD,AURORA,CO,800101924,
J & M LIQUORS LLC,PIONEER HILLS LIQUOR,Liquor Store (city), 07/01/2016,"5594 SOUTH PARKER RD, UNIT 49",Aurora,CO,80011,
JD LEE INC,COUNTRY LIQUOR,Liquor Store (city), 04/07/2016,14155 E COLFAX AVE #A-1,AURORA,CO,800115704,
JOONOO INC,LIQUOR PORT,Liquor Store (city), 04/17/2016,15210 E 6TH AVE #9,Aurora,CO,800118831,
K C INCORPORATEDSALES,CAPSHAW LIQUORS,Liquor Store (city), 01/14/2016,1555 S HAVANA UNIT C&D,Aurora,CO,800125034,
KAMALJIT CORP,AZ LIQUORS,Liquor Store (city), 06/26/2016,"16070 E DARTMOUTH AVE, UNIT 12",Aurora,CO,80013,
KIM OK SUN,5TH QUARTER LIQUORS,Liquor Store (city), 09/04/2015,14585 E ALAMEDA AVE,Aurora,CO,800122601,
KK LIQUORS INC,SERENITY RIDGE LIQUORS,Liquor Store (city), 10/15/2015,25791 E SMOKY HILL RD #70,Aurora,CO,80016,
LEETSDALE CORPORATION,DOLLAR SAVER DISCOUNT LIQUOR,Liquor Store (city), 04/28/2016,15355 E COLFAX AVE,Aurora,CO,800115955,
LIQUOR 4 LESS CORPORATION,LIQUOR 4 LESS,Liquor Store (city), 10/24/2015,15451 E MISSISSIPPI AVE UNIT A,Aurora,CO,80017,
LYG INC,AZZY DISCOUNT LIQUOR,Liquor Store (city), 06/21/2016,13916 E MISSISSIPPI AVE,AURORA,CO,800123603,
M&H LIQUOR CORP,M & H DISCOUNT LIQUORS,Liquor Store (city), 09/25/2015,1155 S HAVANA ST #65,AURORA,CO,800124017,
M&M INC,AURORA PLAZA LIQUORS,Liquor Store (city), 03/09/2016,677 PEORIA ST,AURORA,CO,800118228,
MARK J RUBIN ENTERPRISES INC,HAMPDEN CROSSING LIQUORS INC,Liquor Store (city), 01/24/2016,18121 E HAMPDEN AVE UNIT M,AURORA,CO,800133589,
MHS INC,HOFFMAN HEIGHTS LIQUORS,Liquor Store (city), 08/21/2015,728 PEORIA ST,AURORA,CO,800118231,
MIKE & FRANK'S JACKPOT LLC,BOTTLE BARN LIQUOR M L,Liquor Store (city), 01/11/2016,1720 S BUCKLEY RD,AURORA,CO,800175172,
MOHAN LLC,MOHAN LIQUORS,Liquor Store (city), 09/06/2015,13700 EAST ALAMEDA AVENUE,Aurora,CO,80012,
MURPHY CREEK LLC,MK LIQUOR,Liquor Store (city), 04/15/2016,1305 S ZANTE ST,Aurora,CO,80018,
N AND T INC,SOMERSET LIQUOR,Liquor Store (city), 12/12/2015,1250 S BUCKLEY RD STE B,Aurora,CO,800174180,
NATHANAEL & DELINA LLC,HAMPDEN LIQUOR,Liquor Store (city), 10/24/2015,15433 E HAMPDEN AVE SUITES E & F,Aurora,CO,80013,
NICK'S LIQUORS INC,NICK'S LIQUORS INC,Liquor Store (city), 05/08/2016,12030 E COLFAX AVE,Aurora,CO,800105111,
